id,season,city,citystadium,date,Home,team1,team2,toss_winner,Toss,winner_text,winner,Bat1,Bat2,Bat3,Bat4,Bat5,Bat6,Bat7,Bat8,Bat9,Bat10,Bat11,Bowl1,Bowl2,Bowl3,Bowl4,Bowl5,Bowl6,Bowl7,Bowl8,Bowl9,Bowl10,Bowl11
38,2017,Pune,Pune,5/1/2017,1,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,1,Rising Pune Supergiant,1,6.88060181,2.448028646,-0.335374556,5.632417036,-1.284333875,-6.210510066,-10.38027667,-7.503092784,-0.56665641,1.724175824,0.488461538,6.5,-0.916666667,-8.893,5.729166667,-1.988,13.158,-2.625833333,-16.53791667,3.014166667,10.06616667,29.60125
39,2017,Delhi,Delhi,5/2/2017,1,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,1,Delhi Daredevils,1,-7.553069156,-4.161659988,-1.915015188,-0.21870668,-0.358525257,8.718084193,0.029191858,-2.456292963,4.269717692,4.760022431,3.033455433,-3.25,-3.90625,-1.375,-16.0015,-7.426666667,9.974166667,6.085,-20.21716667,-4.65575,4.211416667,-9.060833333
40,2017,Kolkata,Kolkata,5/3/2017,0,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,1,Rising Pune Supergiant,0,-8.813799416,3.595353772,-7.7563867,-0.414582226,1.782393945,-10.68246684,1.693249525,4.173725106,1.617606838,3.615722739,1.713986014,15.98775,7.416666667,-3.25,2.53875,-0.08425,7.300416667,-12.66916667,1.47675,6.166916667,-1.207916667,-3.1875
41,2017,Delhi,Delhi,5/4/2017,1,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,1,Delhi Daredevils,1,-2.452883247,-2.320143486,-5.620726247,0.193045548,0.094953004,-3.287332788,-5.734052895,-2.052612014,-0.819422711,4.575914232,1.421916972,-15.88975,-3.25,-12.143,-3.25,8.065,14.70333333,-2.810083333,-2.3855,-2.478333333,9.720583333,15.13458333
42,2017,Bangalore,Bangalore,5/5/2017,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Kings XI Punjab,0,-7.641871275,10.46080623,0.499505322,6.851021499,-1.803186341,3.478202894,-0.947172927,2.507291641,-3.735797142,-1.152967033,2.087907692,3.25,14.58425,-3.5,5.05,-3.25,8.60725,0.288333333,0.976666667,-0.938333333,-4.670416667,19.34333333
43,2017,Hyderabad,Hyderabad,5/6/2017,0,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,0,Rising Pune Supergiant,0,3.102284624,4.062291015,-3.370336503,0.008440503,-5.178938775,2.241144885,-3.346495269,2.219224615,2.514754501,-1.849704142,0.445551223,0,8.072916667,-1.875,2.09975,9.7625,-10.2525,11.66458333,1.617,6.813666667,-3.362833333,0.176416667
44,2017,Delhi,Delhi,5/6/2017,0,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,0,Mumbai Indians,0,-5.623913986,0.49103986,-1.706252486,-4.932324305,2.262539687,-6.550840417,-1.275414683,-0.744687858,1.1746461,0.476734377,-1.590800794,-13.27916667,-3.25,-15.64225,-19.5305,2.3525,14.70333333,-2.6755,-4.974416667,1.294416667,-16.44683333,3.065333333
45,2017,Bangalore,Bangalore,5/7/2017,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,1,Kolkata Knight Riders,0,-5.664960953,12.31800372,10.46662072,2.946586639,-2.952128307,-2.639315336,0.318991738,1.696521587,-4.600621118,3.850586808,-0.202033136,3.25,-7.9035,-14.05041667,1.8,-3.25,-5.893333333,19.08916667,1.14,-3.755416667,-4.459166667,5.455833333
46,2017,Chandigarh,Punjab,5/7/2017,0,Kings XI Punjab,Gujarat Lions,Gujarat Lions,1,Gujarat Lions,0,1.229449729,0.826563155,0.423676581,0.020790008,-0.382096566,-0.78498314,-1.187869714,-1.590756288,-1.993642862,-2.396529435,-2.799416009,-8.168166667,-11.726375,-15.28458333,-18.84279167,-22.401,-25.95920833,-29.51741667,-33.075625,-36.63383333,-40.19204167,-43.75025
47,2017,Hyderabad,Hyderabad,5/8/2017,1,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,0,Sunrisers Hyderabad,1,1.92915517,4.652699848,0.340860959,-2.932480069,-1.645489879,-12.17653919,3.19113106,-3.780414126,-1.350175385,-5.030177515,-2.556721057,-10.02916667,0.65625,16.2625,-0.279,-6.483333333,-5.632666667,-12.26666667,2.7495,-0.36225,0.144666667,-7.386
